"component","label","Hypothesis","prior_prob","post_prob","inclusion_BF","BF_error_percent"
"Effect","Spike(0)","Null",0.5,0.682733333333333,2.15192267283043,2.50461545848854
"Effect","Normal(0, 0.71)","Alternative",0.5,0.317266666666667,0.464700712821014,2.50461545848854
"Heterogeneity","Spike(0)","Null",0.5,0.000366666666666667,0.000366801160425489,32.6321758886872
"Heterogeneity","Normal(0, 0.35)[0, Inf]","Alternative",0.5,0.999633333333333,2726.27272727273,32.6321758886908
"Publication Bias","None","Null",0.5,0.310633333333333,0.450606837193559,2.1464989550982
"Publication Bias","omega[two-sided: .05]","Alternative",0.0416666666666667,0.00813333333333333,0.188600618362683,6.75441117606151
"Publication Bias","omega[two-sided: .05, .1]","Alternative",0.0416666666666667,0.0054,0.12487432133521,8.01459236627127
"Publication Bias","omega[one-sided: .05]","Alternative",0.0416666666666667,0.0814666666666667,2.03991871098853,2.55476356788555
"Publication Bias","omega[one-sided: .025, .05]","Alternative",0.0416666666666667,0.0628,1.5411865130175,2.90360658678928
"Publication Bias","omega[one-sided: .05, .5]","Alternative",0.0416666666666667,0.0382666666666667,0.915153195619021,3.47451601625729
"Publication Bias","omega[one-sided: .025, .05, .5]","Alternative",0.0416666666666667,0.031,0.735810113519092,3.80628052485129
"Publication Bias","PET","Alternative",0.125,0.2147,1.91379090793327,2.43324150386534
"Publication Bias","PEESE","Alternative",0.125,0.2476,2.30356193514088,2.64588577972446
